responsibility,duration,location
Ingeniero Especialista,feb 2020 – actualidad,"Sincelejo, Sucre, Colombia"
Ingeniero de Sistemas y Estratega de marketing Digital.,nov 2018 – actualidad,"Sincelejo, Sucre, Colombia"
Ingeniero de Sistemas,oct 2017 – nov 2018,"Sincelejo, Sucre Department, Colombia"
Docente,abr 2018 – sept 2018,"Zambrano, Bolívar Department, Colombia"
Ingeniero de Sistemas,may 2015 – dic 2016,"Bogotá D.C., Colombia"
Ingeniero de soporte,feb 2013 – oct 2015,Colombia
Docente,ago 2013 – abr 2015,"Sincelejo, Sucre, Colombia"
ASISTENTE GERENCIAL ADMINISTRATIVO,jun 2012 – dic 2012,"Sincelejo, Sucre, Colombia"
Ingeniero de soporte,feb 2011 – feb 2012,"Sucre, Colombia"
Ingeniero de software,oct 2018 – actualidad,"Sucre, Colombia"
Coordinador de sistemas,ene 2016 – oct 2018,"Sucre, Colombia"
Desarrollador web,12 meses,"Sucre, Colombia"
Auxiliar de Ingeniería,feb 2019 – ene 2020,"Sucre, Colombia"
Desarrollador de software,dic 2017 – feb 2019,Carretera troncal Occidente km 1 vía Corozal
Desarrollador Android,may 2016 – dic 2017,Corporación Universitaria del Caribe CECAR
Desarrollador,dic 2015 – may 2016,Sincelejo
Desarrollador de aplicaciones,2013,Sincelejo
Webmaster,mar 2020 – actualidad,"Montería, Colombia"
Docente,may 2018 – actualidad,"Montería, Colombia"
Docente catedrático,feb 2017 – jun 2020,"Sucre, Colombia"
Implementador Web,feb 2017 – nov 2017,"Sucre, Colombia"
Desarrollador front-end freelance,sept 2020 – actualidad,medellin
Desarrollador de software,ago 2018 – actualidad,Medellín - Colombia
Administrador de PVDP,ene 2017 – dic 2017,Sincelejo
Técnico de servicio nivel 1,oct 2016 – dic 2016,SIncelejo
Técnico de soporte de TI,oct 2019 – actualidad,SIncelejo
Diseñador gráfico,mar 2018 – sept 2019,SIncelejo
Analista de soporte en sistemas.,ene 2018 – jun 2019,Sincelejo
Técnico de sistemas,feb 2017 – ago 2018,Cartagena
Ingeniero de soporte,ene 2018 – jun 2018,"Bauru, São Paulo, Brazil"
Técnico de sistemas,ene 2018 – jul 2019,"Bauru, São Paulo, Brasil"
Desarrollador de java,abr 2016 – dic 2018,"Bauru, São Paulo, Brasil"
Developer II,ene 2017 – actualidad,COVEÑAS
Desarrollador de software,sept 2020 – actualidad,COVEÑAS
Arquitecto de tecnología,mar 2018 – actualidad,"Sincelejo, Sucre, Colombia"
Ingeniero de sistemas,mar 2019 – actualidad,"Sincelejo, Sucre, Colombia"
Ingeniero de Software,ene 2017 – jul 2017,Bogota
Técnico Electrónico,sept 2012 – actualidad,Bogota
Ingeniera de desarrollo,2009 – actualidad,Null
Ingeniero de desarrollo,nov 2020 – actualidad,Null
Analista de desarrollo,ago 2019 – nov 2020,Null
Desarrollador Backend,feb 2018 – ago 2019,Null
Desarrolladora Web,ago 2016 – nov 2017,Null
Programador Senior,ene 2016 – jun 2016,Null
Desarrollador web - Freelancer,jun 2020 – actualidad,Null
Auxiliar Servicios Tecnológicos,ene 2019 – actualidad,Null
Desarrollador web,ene 2015 – mar 2021,Null
Software Developer,feb 2019 – jun 2020,Null
Desarrollador Web PHP Laravel Senior Freelancer,abr 2020 – actualidad,Null
